Person,Cause,Date,Dept_name,State
Police Officer William Jason Sprague,Vehicular assault,6/15/2013,Texarkana Police Department, TX
Special Agent James Terry Watson,Stabbed,6/21/2013,United States Department of Justice - Drug Enforcement Administration, US
"Patrolman Daniel ""J.J."" Lomax",Electrocuted,6/22/2013,Forest City Borough Police Department, PA
Deputy Sheriff Steven George Netherland,Automobile accident,6/24/2013,Vernon Parish Sheriff's Office, LA
"Sergeant Lance Allen ""Lou"" McLean",Gunfire,6/29/2013,Hood County Sheriff's Office, TX
Police Officer II Rodney Renee Thomas,Vehicular assault,7/7/2013,New Orleans Police Department, LA
"Sergeant Leonard Robert Luna, Jr.",Motorcycle accident,7/8/2013,Hawthorne Police Department, CA
Police Officer Robert Layden Hornsby,Gunfire,7/14/2013,Killeen Police Department, TX
Police Officer Bruce Daniel Jacob,Struck by vehicle,7/20/2013,Jackson Police Department, MS
Police Officer David Lee VanBuskirk,Fall,7/22/2013,Las Vegas Metropolitan Police Department, NV
"Trooper Winston I. Martindale, Jr.",Fall,7/24/2013,New York State Police, NY
Corporal Thomas Keith Slay,Automobile accident,7/30/2013,Columbus Police Department, GA
Deputy Sheriff Jeff G. Watson,Automobile accident,8/4/2013,St. Charles Parish Sheriff's Office, LA
Sergeant Michael L. Wilson,Gunfire,8/5/2013,Charlotte County Sheriff's Office, FL
Deputy Sheriff Chad D. Shaw,Heart attack,8/6/2013,McCracken County Sheriff's Office, KY
"Sergeant Jorge Luis ""JL"" Garcia",Automobile accident,8/9/2013,Pharr Police Department, TX
Police Officer I Ivorie Gerhard Klusmann,Automobile accident,8/10/2013,DeKalb County Police Department, GA
Police Officer Francis T. Pitone,9/11 related illness,8/11/2013,New York City Police Department, NY
Police Officer Jonathan R. Long,Vehicle pursuit,8/15/2013,Akron Police Department, OH
Trooper William P. Keane,Heart attack,8/23/2013,New York State Police, NY
Police Officer I Jason L. Schneider,Gunfire,8/28/2013,Baltimore County Police Department, MD
Sergeant Derek Ray Johnson,Gunfire,9/1/2013,Draper Police Department, UT
Deputy Sheriff Michael Neal Freeman,Vehicle pursuit,9/8/2013,Harrison County Sheriff's Office, TX
"Trooper Paul Kenyon Butterfield, II",Gunfire,9/9/2013,Michigan State Police, MI
Deputy Sheriff David E. Allford,Automobile accident,9/11/2013,Okfuskee County Sheriff's Office, OK
Police Officer Jamie Daniel Buenting,Gunfire,9/13/2013,Rockwell City Police Department, IA
Police Officer Rodney Wayne Jones,Duty related illness,9/14/2013,Detroit Police Department, MI
Sergeant Sheryl A. Pierce,Duty related illness,9/14/2013,South Londonderry Township Police Department, PA
Investigator Michael Dale Stockwell,Automobile accident,9/17/2013,Orange Beach Police Department, AL
Police Officer Rod Lee Bradway,Gunfire,9/20/2013,Indianapolis Metropolitan Police Department, IN
Police Officer Jon Steven Coutchie,Motorcycle accident,9/21/2013,Laguna Beach Police Department, CA
Deputy Sheriff Daniel Rivera,Automobile accident,9/21/2013,Broward County Sheriff's Office, FL
Detective Sergeant Frank Lema,Struck by vehicle,9/26/2013,United States Department of Defense - Naval Station Newport Police Department, US
"Deputy Sheriff Billy F. ""Bubba"" Kennedy",Gunfire,10/2/2013,Upton County Sheriff's Department, TX
Police Officer James M. Burke,9/11 related illness,10/6/2013,New York City Police Department, NY
Special Agent Joseph Michael Peters,Bomb,10/6/2013,United States Army Criminal Investigation Division, US
Lieutenant Clay D. Crabb,Automobile accident,10/16/2013,Austin Police Department, TX
Police Officer Patrick E. Hill,Gunfire (Accidental),10/19/2013,Detroit Police Department, MI
Detective Steven Hom,9/11 related illness,10/19/2013,New York City Police Department, NY
Corporal Keith A. Crenshaw,Struck by vehicle,10/23/2013,Eupora Police Department, MS
Senior Police Officer Robert A. Bingaman,Automobile accident,10/29/2013,Asheville Police Department, NC
Police Officer Casey J. Kohlmeier,Vehicular assault,10/30/2013,Pontiac Police Department, IL
Police Chief Steven K. Fleming,Fall,11/1/2013,Gainesville Police Department, TX
Reserve Officer Robert A. Libke,Gunfire,11/4/2013,Oregon City Police Department, OR
Sergeant Daniel Verle Davis,Gunfire (Accidental),11/10/2013,Phenix City Police Department, AL
Trooper Ross M. Riley,Fall,11/20/2013,New York State Police, NY
Supervisor Michael Clifton Baskett,Struck by vehicle,11/26/2013,United States Department of Justice - Federal Bureau of Prisons, US
Detective Michael R. Henry,9/11 related illness,11/28/2013,New York City Police Department, NY
Deputy Sheriff Joseph C. Antwine,Automobile accident,11/29/2013,Florence County Sheriff's Office, SC
Sergeant Robert W. Baron,Struck by vehicle,12/6/2013,Sandoval County Sheriff's Office, NM
Deputy Sheriff Adam J. Davis,Automobile accident,12/11/2013,Bell County Sheriff's Office, TX
Trooper David W. Cunniff,Automobile accident,12/17/2013,New York State Police, NY
Sergeant Ronald L. Ray,Heart attack,12/17/2013,Shelby County Sheriff's Office, TN
Petty Officer Travis Raymond Obendorf,Boating accident,12/18/2013,United States Coast Guard Office of Law Enforcement, US
Deputy Sheriff Clinton H. Frazier,Vehicle pursuit,12/18/2013,Union County Sheriff's Office, MS
Sergeant Investigator Fredrich Adam Sowders,Gunfire,12/19/2013,Burleson County Sheriff's Office, TX
Investigator Jeffrey Hugh Bryant,Automobile accident,12/20/2013,Centre Police Department, AL
Investigator II Cuauhtemoc Estrada,Gunfire,12/20/2013,Cook County Sheriff's Office - Department of Court Services, IL
"Police Officer Robert Carey Deckard, Jr.",Gunfire,12/20/2013,San Antonio Police Department, TX
Police Officer Cheryl D. Johnson,9/11 related illness,12/22/2013,New York City Police Department, NY
Lieutenant Brian J. Feldt,Duty related illness,12/23/2013,United States Department of Justice - Federal Bureau of Prisons, US
"Sergeant Kevin ""Gale"" Stauffer, Jr.",Gunfire,12/23/2013,Tupelo Police Department, MS
Correctional Deputy Jeremy Wayne Meyst,Automobile accident,12/24/2013,Tulare County Sheriff's Office, CA
Officer Darrell Jean Windhaus,Heart attack,12/29/2013,United States Department of Homeland Security - Customs and Border Protection - Office of Field Operations, US
K9 Maxo,Fall,1/26/2013,United States Department of Homeland Security - United States Secret Service Uniformed Division, US
K9 Koda,Gunfire,1/31/2013,Leon County Sheriff's Office, FL
K9 Kody,Stabbed,2/12/2013,St. Paul Police Department, MN
K9 Ape,Gunfire,3/14/2013,United States Department of Justice - Federal Bureau of Investigation, US
K9 Mattie,Automobile accident,3/25/2013,California Department of Corrections and Rehabilitation, CA
K9 Rocky,Asphyxiation,4/7/2013,New Canaan Police Department, CT
K9 Roscoe,Struck by vehicle,5/1/2013,Texas Department of Criminal Justice, TX
K9 Cooper,Heat exhaustion,6/7/2013,Aiken County Sheriff's Office, SC
K9 Spartacus,Heat exhaustion,6/17/2013,Woodstock Police Department, GA
K9 Shadow,Training accident,6/18/2013,Hanahan Police Department, SC
K9 Ronin,Gunfire,6/20/2013,Glendale Police Department, AZ
K9 Kilo,Gunfire,6/24/2013,Indiana State Police, IN
K9 Sani,Heat exhaustion,7/17/2013,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
K9 Gus,Duty related illness,8/1/2013,Florida Fish and Wildlife Conservation Commission, FL
K9 Kali,Automobile accident,8/3/2013,Peru Police Department, IL
K9 Max,Accidental,9/13/2013,Miami Gardens Police Department, FL
K9 Draco,Automobile accident,10/30/2013,Pontiac Police Department, IL
K9 Maco,Struck by vehicle,11/1/2013,Dinwiddie County Sheriff's Office, VA
Detective Christopher Strucker,9/11 related illness,1/3/2014,New York City Police Department, NY
Deputy Sheriff Terry B. Fisher,Heart attack,1/12/2014,Oklahoma County Sheriff's Office, OK
"Deputy Sheriff David T. ""Bubba"" Johnson",Automobile accident,1/12/2014,Montgomery County Sheriff's Office, TN
Detective Angel Creagh,9/11 related illness,1/14/2014,New York City Police Department, NY
Sergeant Clinton Jeffrey Holtz,Heart attack,1/17/2014,United States Capitol Police, US
"Detective Sergeant Thomas A. Smith, Jr",Gunfire (Accidental),1/21/2014,Bay Area Rapid Transit Police Department, CA
Police Officer Perry T. Villani,9/11 related illness,1/21/2014,New York City Police Department, NY
Sergeant Carlos A. Rivera-Vega,Gunfire,1/21/2014,Puerto Rico Police Department, PR
Police Officer Kristian Daniel Willhight,Vehicle pursuit,1/23/2014,Burns Flat Police Department, OK
Undersheriff Brian D. Beck,Vehicle pursuit,1/23/2014,Washita County Sheriff's Office, OK
Sergeant David M. Baldwin,Motorcycle accident,1/26/2014,Jefferson County Sheriff's Office, CO
Reserve Deputy Eddie Maurice Hamer,Automobile accident,1/27/2014,Hardeman County Sheriff's Office, TN
"Deputy Sheriff Carlos Papillion, Jr.",Heart attack,1/28/2014,St. Landry Parish Sheriff's Office, LA
Sergeant Cory Blake Wride,Gunfire,1/30/2014,Utah County Sheriff's Office, UT
"Deputy Sheriff Percy Lee House, III",Automobile accident,1/31/2014,Greensville County Sheriff's Office, VA
Deputy Sheriff Jonathan Scott Pine,Gunfire,2/11/2014,Orange County Sheriff's Office, FL
Correctional Officer Amanda Beth Baker,Assault,2/16/2014,Scotts Bluff County Detention Center, NE
Officer Brian Mitchio Law,Automobile accident,2/17/2014,California Highway Patrol, CA
Officer Juan Jaime Gonzalez,Automobile accident,2/17/2014,California Highway Patrol, CA
Detective John Thomas Hobbs,Gunfire,3/3/2014,Phoenix Police Department, AZ
"Captain Ronald G. Peifer, Sr.",9/11 related illness,3/5/2014,New York City Police Department, NY
Police Officer III Nicholas Choung Lee,Automobile accident,3/7/2014,Los Angeles Police Department, CA
"Police Officer Derek Andrew ""Chip"" Hansen",Duty related illness,3/8/2014,Wapato Police Department, WA
Agent Joaquín Correa-Ortega,Gunfire,3/10/2014,Puerto Rico Police Department, PR
Officer Jason Marc Crisp,Gunfire,3/12/2014,United States Department of Agriculture - Forest Service Law Enforcement and Investigations, US
Police Officer Marc Uland Kelley,Heart attack,3/14/2014,Trinity University Police Department, TX
Detective Robert A. Montanez,9/11 related illness,3/16/2014,New York City Police Department, NY
"Chief Deputy Sheriff Allen Ray ""Pete"" Richardson",Vehicular assault,3/17/2014,Lafayette County Sheriff's Office, AR
Police Officer James Patrick Morrissy,Automobile accident,3/17/2014,Oak Forest Police Department, IL
Deputy Sheriff Ricky Paul Del Fiorentino,Gunfire,3/19/2014,Mendocino County Sheriff's Office, CA
Police Officer Robert Gordon German,Gunfire,3/22/2014,Windermere Police Department, FL
Police Officer Mark Hayden Larson,Vehicular assault,3/24/2014,Jacksonville Sheriff's Office, FL
Master-at-Arms Mark Aaron Mayo,Gunfire,3/24/2014,United States Navy Security Forces, US
Patrolman Alexander Edward Thalmann,Gunfire,3/31/2014,New Bern Police Department, NC
"Police Officer David Wayne Smith, Jr.",Gunfire,3/31/2014,Johnson City Police Department, NY
Police Officer Gregory T. Maloney,Motorcycle accident,4/1/2014,Plymouth Police Department, MA
Deputy Sheriff Ernest T. Franklin,Automobile accident,4/2/2014,Barren County Sheriff's Office, KY
Detective John J. Marshall,9/11 related illness,4/6/2014,New York City Police Department, NY
Police Officer II Christopher Alan Cortijo,Vehicular assault,4/9/2014,Los Angeles Police Department, CA
Detective Dennis Eric Guerra,Fire,4/9/2014,New York City Police Department, NY
Detective Douglas Henry Mayville,Duty related illness,4/9/2014,Albany Police Department, NY
Police Officer Dennis Oliver Simmonds,Duty related illness,4/10/2014,Boston Police Department, MA
Agent Mareli Alejandra Morales-Santiago,Automobile accident,4/10/2014,Puerto Rico Police Department, PR
Deputy Sheriff Michael J. Seversen,Gunfire,4/14/2014,Polk County Sheriff's Office, WI
Deputy Sheriff William Heath Kelley,Automobile accident,4/18/2014,Covington County Sheriff's Office, AL
Deputy Sheriff Bryan Marshall Berger,Heart attack,4/28/2014,Spotsylvania County Sheriff's Office, VA
Trooper Gabriel Lenox Rich,Gunfire,5/1/2014,Alaska State Troopers, AK
Sergeant Patrick Scott Johnson,Gunfire,5/1/2014,Alaska State Troopers, AK
Police Officer II Roberto Carlos Sanchez,Vehicular assault,5/3/2014,Los Angeles Police Department, CA
Trooper Chelsea Renee Richard,Struck by vehicle,5/3/2014,Florida Highway Patrol, FL
Police Officer Noel Lee Hawk,Heart attack,5/4/2014,Eatonton Police Department, GA
Master Sergeant John Thomas Collum,Vehicular assault,5/9/2014,"Mississippi Department of Wildlife, Fisheries and Parks", MS
Police Officer Michael Alexander Petrina,Struck by vehicle,5/10/2014,Metro Nashville Police Department, TN
Detective Charles David Dinwiddie,Gunfire,5/11/2014,Killeen Police Department, TX
Patrol Officer Stephen J. Arkell,Gunfire,5/12/2014,Brentwood Police Department, NH
"Deputy Sheriff Steven LaCruz ""Cruz"" Thomas",Automobile accident,5/21/2014,Franklin County Sheriff's Office, GA
Correctional Officer Chad Charles,Heart attack,5/21/2014,Michigan Department of Corrections, MI
Police Officer Jair Abelardo Cabrera,Gunfire,5/24/2014,Salt River Police Department, TR
Border Patrol Agent Alexander Irving Giannini,Automobile accident,5/28/2014,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
Trooper Christopher G. Skinner,Vehicular assault,5/29/2014,New York State Police, NY
Special Deputy Marshal Frank Edward McKnight,Struck by vehicle,5/29/2014,United States Department of Justice - United States Marshals Service, US
Sergeant Paul Aaron Buckles,Heart attack,5/30/2014,Potter County Sheriff's Office, TX
Police Officer Brian Wayne Jones,Gunfire,5/30/2014,Norfolk Police Department, VA
Police Officer Kevin Dorian Jordan,Gunfire,5/31/2014,Griffin Police Department, GA
Police Officer Igor Soldo,Gunfire,6/8/2014,Las Vegas Metropolitan Police Department, NV
Police Officer Alyn Ronnie Beck,Gunfire,6/8/2014,Las Vegas Metropolitan Police Department, NV
Police Officer Scott Martin Hewell,Automobile accident,6/11/2014,Stockton Police Department, CA
Chief of Police Lee Dixon,Gunfire,6/19/2014,Little River-Academy Police Department, TX
"Deputy Sheriff Allen Morris Bares, Jr.",Gunfire,6/23/2014,Vermilion Parish Sheriff's Office, LA
Deputy Sheriff Jacob Daniel Calvin,Automobile accident,6/28/2014,Tipton County Sheriff's Office, IN
Officer Perry Wayne Renn,Gunfire,7/5/2014,Indianapolis Metropolitan Police Department, IN
Patrolman Jeffrey Brady Westerfield,Gunfire,7/6/2014,Gary Police Department, IN
Police Officer John Donald Herring,Heart attack,7/7/2014,Fresno Police Department, CA
Deputy Sheriff Frank Gregory Bordonaro,Heart attack,7/8/2014,Genesee County Sheriff's Office, NY
Detective Melvin Vincent Santiago,Gunfire,7/13/2014,Jersey City Police Department, NJ
Police Officer Christopher Mark Goodell,Automobile accident,7/17/2014,Waldwick Police Department, NJ
City Marshal Larry Jeane,Automobile accident,7/20/2014,Pineville City Marshal's Office, LA
Detective John A. Russo,9/11 related illness,7/22/2014,New York City Police Department, NY
Police Officer Scott Thomas Patrick,Gunfire,7/30/2014,Mendota Heights Police Department, MN
Lieutenant Patrick Libertone,Heart attack,8/12/2014,Los Angeles County Sheriff's Department, CA
Sheriff Mark Alan Hecker,Heart attack,8/12/2014,Butler County Sheriff's Office, NE
Detective James J. Albanese,9/11 related illness,8/13/2014,New York City Police Department, NY
Deputy Sheriff Joseph James Dunn,Vehicular assault,8/14/2014,Cascade County Sheriff's Office, MT
Sergeant Patrick P. Murphy,9/11 related illness,8/20/2014,New York City Police Department, NY
Chief of Police Michael Anthony Pimentel,Gunfire,8/23/2014,Elmendorf Police Department, TX
Agent Geniel Amaro-Fantauzzi,Gunfire,8/25/2014,Puerto Rico Police Department, PR
Sergeant Paul Ferrara,9/11 related illness,8/28/2014,New York City Police Department, NY
"Constable Cleveland Drew Johnson, Jr.",Automobile accident,8/28/2014,Titus County Constable's Office - Precinct 2, TX
Police Officer Daryl R. Pierson,Gunfire,9/3/2014,Rochester Police Department, NY
Patrolman II Nickolaus Edward Schultz,Gunfire,9/7/2014,Merrillville Police Department, IN
Corporal Jason Eugene Harwood,Gunfire,9/7/2014,Topeka Police Department, KS
Deputy Director Carolyn Ann Cross,Assault,9/7/2014,District of Columbia Department of Corrections, DC
Deputy Sheriff Joseph John Matuskovic,Gunfire,9/8/2014,Charleston County Sheriff's Office, SC
"Corporal Bryon Keith Dickson, II",Gunfire,9/12/2014,Pennsylvania State Police, PA
Border Patrol Agent Tyler Ryan Robledo,Automobile accident,9/12/2014,United States Department of Homeland Security - Customs and Border Protection - United States Border Patrol, US
Deputy Sheriff Michael Andrew Norris,Gunfire,9/14/2014,Monroe County Sheriff's Office, GA
"Police Officer Reinaldo Arocha, Jr.",Heart attack,9/16/2014,Newark Police Department, NJ
Senior Deputy Jessica Laura Hollis,Drowned,9/18/2014,Travis County Sheriff's Office, TX
Police Officer Michael C. Williams,Automobile accident,9/21/2014,New York City Police Department, NY
Police Officer Jordan Jeffrey Corder,Motorcycle accident,9/30/2014,Covina Police Department, CA
Trooper David Kedra,Gunfire (Accidental),9/30/2014,Pennsylvania State Police, PA
Sergeant Stephen P. Scalza,9/11 related illness,10/1/2014,New York City Police Department, NY
Sergeant Michael Joe Naylor,Gunfire,10/9/2014,Midland County Sheriff's Office, TX
Detective Luis G. Fernandez,9/11 related illness,10/16/2014,New York City Police Department, NY
"Police Officer Eddie Joe Johnson, Jr.",Automobile accident,10/20/2014,Alton Police Department, MO
Deputy Sheriff Danny Paul Oliver,Gunfire,10/24/2014,Sacramento County Sheriff's Department, CA
"Detective Michael David Davis, Jr.",Gunfire,10/24/2014,Placer County Sheriff's Department, CA
Detective Kagan Dindar,Heart attack,10/24/2014,Clarksville Police Department, TN
Deputy Sheriff John Timothy Williamson,Heart attack,10/25/2014,Butler County Sheriff's Office, AL
Police Officer Anthony Phillip Haase,Automobile accident,10/26/2014,Rio Rancho Police Department, NM
Patrolman Robert Blajszczak,Heart attack,10/26/2014,Summerville Police Department, SC
Sergeant Jeffrey W. Garrett,Heart attack,10/27/2014,Dothan Police Department, AL
Technical Trooper Kent Eugene Newport,Heart attack,10/27/2014,Kansas Highway Patrol, KS
"Deputy Sheriff Yevhen ""Eugene"" Kostiuchenko",Vehicular assault,10/28/2014,Ventura County Sheriff's Office, CA
Police Officer Shaun Richard Diamond,Gunfire,10/29/2014,Pomona Police Department, CA
"Deputy Sheriff Jesse Valdez, III",Vehicular assault,10/29/2014,Harris County Sheriff's Office, TX
Police Officer David Smith Payne,Vehicular assault,10/31/2014,Chandler Police Department, AZ
Inspector James Guida,9/11 related illness,10/31/2014,New York City Police Department, NY
Constable Robert Parker White,Assault,11/1/2014,El Paso County Constable's Office - Precinct 1, TX
Deputy Sheriff Matthew Scott Chism,Gunfire,11/2/2014,Cedar County Sheriff's Office, MO
Deputy Sheriff Darrell James Perritt,Vehicle pursuit,11/4/2014,Maury County Sheriff's Department, TN
"Investigator Holmes Nathaniel Smith, Jr.",Automobile accident,11/5/2014,Clarendon County Sheriff's Department, SC
Police Officer Ronald A. Leisure,Heart attack,11/14/2014,United States Department of Veterans Affairs Police Services, US
Police Officer Justin Robert Winebrenner,Gunfire,11/16/2014,Akron Police Department, OH
Sergeant Jeffrey Wayne Greene,Automobile accident,11/19/2014,Union County Sheriff's Office, NC
"Sergeant Alejandro ""Alex"" Martinez",Automobile accident,11/21/2014,Willacy County Sheriff's Office, TX
Deputy Sheriff Christopher Lynd Smith,Gunfire,11/22/2014,Leon County Sheriff's Office, FL
"Deputy Sheriff James ""Bart"" Hart",Automobile accident,11/23/2014,Elmore County Sheriff's Office, AL
Agent Edwin Omar Roman-Acevedo,Gunfire,11/26/2014,San Juan Police Department, PR
"Senior Police Officer Ernest Jesus Montoya, Sr",Heart attack,11/30/2014,Navajo Division of Public Safety, TR
Police Officer Robert Kaminski,9/11 related illness,12/4/2014,New York City Police Department, NY
Deputy Sheriff Grant William Whitaker,Vehicle pursuit,12/7/2014,Ingham County Sheriff's Office, MI
Police Officer Shaun Mahoney,9/11 related illness,12/10/2014,New York City Police Department, NY
Police Officer Richard Anthony Champion,Vehicle pursuit,12/14/2014,Perryopolis Borough Police Department, PA
Deputy Sheriff John Robert Street,Automobile accident,12/16/2014,George County Sheriff's Office, MS
Detective Rafael L. Ramos,Gunfire,12/20/2014,New York City Police Department, NY
Detective Wenjian Liu,Gunfire,12/20/2014,New York City Police Department, NY
"Police Officer Charles Roger Kondek, Jr",Gunfire,12/21/2014,Tarpon Springs Police Department, FL
Corporal Jamel Leon Clagett,Automobile accident,12/21/2014,Charles County Sheriff's Office, MD
Police Officer Tyler Jacob Stewart,Gunfire,12/27/2014,Flagstaff Police Department, AZ
Police Officer Stephen John Petruzzello,Struck by vehicle,12/29/2014,Cliffside Park Police Department, NJ
Captain Scott V. Stelmok,9/11 related illness,12/29/2014,New York City Police Department, NY
Bridge and Tunnel Officer Thomas K. Choi,Struck by vehicle,12/29/2014,Triborough Bridge and Tunnel Authority Police, NY
Harbor Patrol Assistant Timothy Douglas Mitchell,Drowned,12/30/2014,Avalon Harbor Patrol, CA
"Police Officer James Ellis Foster, Jr.",Motorcycle accident,12/30/2014,Denham Springs Police Department, LA
K9 Remi,Automobile accident,1/13/2014,Federal Reserve Bank of Chicago - Detroit Branch Police, US
K9 Gorky,Gunfire,1/23/2014,Davie County Sheriff's Office, NC
K9 Jager,Fall,1/27/2014,Petersburg Police Department, VA
K9 Rocco,Stabbed,1/30/2014,Pittsburgh Police Department, PA
K9 Maros,Gunfire,3/12/2014,United States Department of Agriculture - Forest Service Law Enforcement and Investigations, US
K9 Mick,Gunfire,4/16/2014,Portland Police Bureau, OR
K9 Ike,Struck by vehicle,5/3/2014,Worcester County Sheriff's Office, MD
K9 Tanja,Gunfire,6/13/2014,Walker County Sheriff's Office, GA
K9 Tracker,Gunfire,7/7/2014,Alabama Department of Corrections, AL
K9 Nyx,Heat exhaustion,7/9/2014,Mills Police Department, WY
K9 Major,Struck by vehicle,7/19/2014,Orange Police Department, CT
K9 Kela,Heat exhaustion,8/19/2014,Duplin County Sheriff's Office, NC
K9 Kye,Stabbed,8/25/2014,Oklahoma City Police Department, OK
K9 Simmie,Heat exhaustion,8/27/2014,East St. Louis Police Department, IL
K9 Petra,Fall,9/8/2014,Colorado Springs Police Department, CO
K9 Brunie,Duty related illness,9/28/2014,Kansas City Police Department, MO
K9 Beny,Heat exhaustion,9/28/2014,Montville Police Department, OH
K9 Baron,Drowned,10/7/2014,St. Johns County Sheriff's Office, FL
